area,city,floor,location,price,rooms,source,square_price,title
45,Beograd,2," Opština Čukarica , Golf , Izvorska ",128250,2.0,halooglasi,2850,"Golf naselje, Izvorska ulica, 2.0, 45 m2 ID#1313"
108,Beograd,2," Opština Vračar , Hram svetog Save , Sokolska ",288000,3.5,halooglasi,2667,"Salonski kod Hrama, odličan"
98,Beograd,4," Opština Vračar , Hram svetog Save , Internacionalnih brigada ",286000,3.5,halooglasi,2918,Internacionalnih brigada
100,Beograd,8," Opština Novi Beograd , Blok 64 , Gandijeva ",280000,4.0,halooglasi,2800,4.0 stan u blok 64 100m2+11m2 ID#1760
33,Beograd,3," Opština Zvezdara , Konjarnik , Bulevar Kralja Aleksandra ",91000,1.0,halooglasi,2758,"Zvezdara, Bulevar Kralja Aleksandra, 33m2, 1.0 ID#"
153,Beograd,7," Opština Novi Beograd , Blok 61 , Dr Ivana Ribara ",175000,5.0,halooglasi,1144,"Dr Ivana Ribara, Blok 61, Novi Beograd"
73,Beograd,p," Opština Novi Beograd , Hotel Jugoslavija , Bulevar maršala Tolbuhina ",215000,3.0,halooglasi,2945,"Bulevar Maršala Tolbuhina (73m2+38m2), Hotel YU"
74,Beograd,10," Opština Palilula , Poštanska štedionica , 27. marta ",234000,2.5,halooglasi,3162,"Odličan stan, Poštanska štedionica, 27.Marta, 74m2"
79,Beograd,p," Opština Stari grad , Dunavski kej , Dunavski kej ",380000,3.0,halooglasi,4810,"Luksuzan stan, pogled na reku, Stari grad, 79m2"
61,Beograd,1," Opština Vračar , Hram svetog Save , Brane Crnčevića ",238000,2.0,halooglasi,3902,"Divan stan nadomak Hrama, Brane Crnčevića, 2.0"
110,Beograd,2," Opština Stari grad , Centar , Vlajkovićeva ",370000,4.0,halooglasi,3364,"Divan 4.0 salonski stan, Stari grad, Vlajkovićeva"
115,Beograd,5," Opština Stari grad , Obilićev venac , Obilićev venac ",460000,4.0,halooglasi,4000,Centar - pešačka zona - Knez - Obilićev venac
80,Beograd,3," Opština Vračar , Cvetni trg , Kralja Milana ",259000,3.5,halooglasi,3238,Cvetni trg - Salonac
80,Beograd,3," Opština Palilula , Botanička bašta , Šajkaška ",219000,3.0,halooglasi,2738,"Predivan 3.0 stan, Botanička bašta, 80 m2"
108,Beograd,5," Opština Stari grad , Atelje 212 , Svetogorska ",293000,3.0,halooglasi,2718,"Stari grad, Svetogorska ulica, salonac, 107m2"
89,Beograd,2," Opština Palilula , Centar , Bulevar despota Stefana ",249000,3.5,halooglasi,2798,"Izuzetan 3.5 stan, Bulevar despota Stefana, 89m2"
61,Beograd,p," Opština Palilula , Tašmajdan , Ilije Garašanina ",195000,2.0,halooglasi,3197,TAŠMAJDAN Ilije Garašanina - odlična investicija
28,Beograd,0.5," Opština Novi Beograd , Ledine , Višegradska ",60000,1.0,halooglasi,2143,Ledine-Novi Surčin hram Sv.Mateja Novogradnja
84,Beograd,3," Opština Voždovac , FON - Bilećka , Vojvode Stepe ",297900,3.0,halooglasi,3567,"Voždove kapije, luks, nov, garaža ID#1303"
122,Beograd,1," Opština Voždovac , Voždovačka crkva , Vojvode Stepe ",319000,4.0,halooglasi,2615,"Vojvode Stepe, novogradnja, 4.0, 3 garažna mesta!"
56,Beograd,5," Opština Zemun , Meandri , Bačka ",122000,2.0,halooglasi,2179,"Sunčan, lep"
58,Beograd,9," Opština Novi Beograd , Fontana , Pariske komune ",150000,2.0,halooglasi,2586,"Renoviran, sunčan"
57,Beograd,1," Opština Voždovac , Lekino brdo ",176700,3.0,halooglasi,3100,Extra Lux stan na Lekinom brdu-bez provizije
64,Beograd,p," Opština Zvezdara , Đeram pijaca , Pećska ",215000,2.5,halooglasi,3359,"Odličan, Zvezdara Đeram, cg, lift, 64m2+terasa 20,"
54,Beograd,2," Opština Rakovica , Vidikovac , Vidikovački venac ",108000,2.0,halooglasi,2000,"Vidikovac, Vidikovački venac, dvosoban stan"
39,Beograd,1," Opština Novi Beograd , Ledine , Oplenačka 2-5-8-10-12-14-16-18-20-22-24-26-28-30 ",79950,2.0,halooglasi,2050,Smart House zgrada Lux stan
81,Beograd,4," Opština Novi Beograd , Blok 62 , Dušana Vukasovića ",187000,3.0,halooglasi,2309,Stan na top lokaciji ID#128705
99,Beograd,p," Opština Čukarica , Banovo brdo , Požeška ",210000,3.0,halooglasi,2121,Požeška |crvena fasadna cigla |99m2 | 76+23 |
75,Beograd,p," Opština Novi Beograd , Blok 63 , Nehruova ",165000,3.5,halooglasi,2200,Odličan svetao stan u bloku 63 ID#1761
73,Beograd,5," Opština Voždovac , Banjica , Bulevar oslobođenja ",150000,3.0,halooglasi,2055,Banjica Bul oslobođenja 73m2 najlepsi pogled
